Facility ID,Name,Type,Street Address,City,County,State,Zip Code,Facility Phone Number
7234,Hospice of New York,Hospice,"30-30 47th Avenue, Suite 635",Long Island City,Queens,New York,11101,7184721999
5515,Peconic Bay Homehealth Services,Certified Home Health Agency,1 Heroes Way,Riverhead,Suffolk,New York,11901,6315486432
15356,Brightview Port Jefferson,Adult Home,1175 Rt. 112,Port Jefferson Station,Suffolk,New York,11776,6318025021
1796,HHC Health and Home Care,Certified Home Health Agency,"50 Water Street, 6th Floor",New York,New York,New York,10004,6464586100
15379,Willow Creek,Adult Home,4460 Union Hill Rd.,Hinsdale,Cattaraugus,New York,14743,7165572322
15360,Albany Center for Independent Living,Adult Home,141 Rockefeller Road,Delmar,Albany,New York,12054,5184398899
9741,Gurwin Certified Home Health Agency,Certified Home Health Agency,330 Conklin Street,Farmingdale,Nassau,New York,11735,6317158600
3911,Mt. Sinai at Home,Certified Home Health Agency,1000 South Oyster Bay Road,Hicksville,Nassau,New York,11801,5163775000
4298,"Tender Loving Care, an Amedisys Company",Certified Home Health Agency,"3237 Route 112, Building 6, Suite 2",Medford,Suffolk,New York,11763,5169353737
15263,Artis Senior Living of Somers,Adult Home,51 Clayton Boulevard,Yorktown Heights,Westchester,New York,10598,9143527705
14868,Heritage Manor of Lockport,Adult Home,41 Lexington Court,Lockport,Niagara,New York,14094,7164337626
15184,Victor Views Assisted Living,Adult Home,1440 State Route 444,Victor,Ontario,New York,14564,3155765082
15166,Ashley Woods,Adult Home,400 YMCA Way,Penfield,Monroe,New York,14526,5859788889
3912,At Home Care Inc,Certified Home Health Agency,1 Foxcare Drive,Oneonta,Otsego,New York,13820,6074327924
15162,Atria New City,Adult Home,269 N. Main Street,New City,Rockland,New York,10956,8452029651
15066,Brightview Sayville,Adult Home,445 Broadway Avenue,Sayville,Suffolk,New York,11782,6315460302
1679,Far Rockaway Center for Rehabilitation and Nursing,Residential Health Care Facility,13-11 Virginia St,Far Rockaway,Queens,New York,11691,7183272909
15247,Esplanade of Woodmere,Adult Home,130 Irving Place,Woodmere,Nassau,New York,11598,5166651645
15269,The Bristal at York Avenue,Adult Home,1622-1632 York Avenue,New York,New York,New York,10028,6463706446
1844,Good Samaritan Hospital Home Care Department,Certified Home Health Agency,"One Crossfield Avenue, Suite 202",West Nyack,Rockland,New York,10994,8453685277
15332,Bay Vista Assisted Living,Adult Home,375 East Bay Drive,Long Beach,Nassau,New York,11561,5168971200
15354,Lincoln Rest Home,Adult Home,12 Lincoln Ave,Ardsley,Westchester,New York,10502,9146931146
14982,The Sentinel of Rockland,Adult Home,200 Rella Blvd,Montebello,Rockland,New York,10901,8452034500
3104,South Nassau Communities Hospital,Long Term Home Health Care Program,1000 South Oyster Bay Road,Hicksville,Nassau,New York,11801,5163775000
1812,VNA of Staten Island,Certified Home Health Agency,669 Castleton Avenue,Staten Island,Richmond,New York,10301,7187202245
15374,Elderwood Village at St. Gregory Court,Adult Home,111 Saint Gregory Court,Williamsville,Erie,New York,14221,7166892394
15212,The Sentinel of Mohegan Lake,Adult Home,3441 Lexington Avenue,Mohegan Lake,Westchester,New York,10547,9146001430
15387,Memory Care at The Glen at Hiland Meadows,Adult Home,48 Longview Drive,Queensbury,Warren,New York,12804,5188327804
15299,Richmond Center for Rehabilitation and Specialty Healthcare.,Residential Health Care Facility,75 Vanderbilt Avenue,Staten Island,Richmond,New York,10304,
15267,Daleview Care Center,Residential Health Care Facility,530 Fulton Street,Farmingdale,Nassau,New York,11735,
15226,Eastern Star Home,Adult Home,8290 State Route 69,Oriskany,Oneida,New York,13424,3157369311
14946,The Elliot Pearl House,Adult Home,140 Beach 119th Street,Rockaway Park,Queens,New York,11694,7189455700
14812,Island Assisted Living,Adult Home,820 Front Street,Hempstead,Nassau,New York,11550,5165641100
9627,Royal Care Certified Home Health of NY,Certified Home Health Agency,798 Southern Boulevard,Bronx,Bronx,New York,10455,9146936800
15425,Coopers Corner,Adult Home,11 Mill Road,New Rochelle,Westchester,New York,10804,9142210472
15386,St. Johnland Assisted Living,Adult Home,393 Sunken Meadow Road,Kings Park,Suffolk,New York,11754,6316634450
2865,VNA of Staten Island,Long Term Home Health Care Program,669 Castleton Avenue,Staten Island,Richmond,New York,10301,7187202245
